trial,state,objective,avg_composite,avg_vif,avg_nrqm,avg_unique,denoise_radius,ltm_radius,ltm_downsample,post_denoise_radius,sharp_radius,raw_y_blur_radius,day_vif,day_nrqm,day_unique,day_composite,night_vif,night_nrqm,night_unique,night_composite
77,trialstate.complete,1.7264039710988501,1.7264039710988501,0.7549388110637665,6.955452601114909,0.8277605275313059,4,8,0.75,1,3.0,5,0.6371918320655823,5.911995569864909,0.5597355961799622,1.4149697345335286,0.8726857900619507,7.998909632364909,1.0957854588826497,2.037838207664172
78,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,9,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
79,trialstate.complete,1.8644012872245712,1.8644012872245712,0.6799480120340984,7.868112325668335,1.1929273207982383,4,9,0.25,5,1.5,5,0.5169511040051779,7.655685583750407,0.9492474794387817,1.5989351724439862,0.8429449200630188,8.080539067586264,1.4366071621576946,2.1298674020051562
80,trialstate.complete,1.8181210372720757,1.8181210372720757,0.6587046186129253,7.6078174114227295,1.1959052284558613,4,9,0.25,1,2.0,4,0.5206820368766785,7.657153288523356,0.9826474587122599,1.6139461910839479,0.796727200349172,7.558481534322103,1.409162998199463,2.022295883460204
81,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,8,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
82,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,8,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
83,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,8,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
84,trialstate.complete,1.8992903027572035,1.8992903027572035,0.7065574526786804,8.040087461471558,1.16617347796758,4,8,0.25,0,0.5,4,0.5286156137784322,7.657940705617269,0.9354716936747233,1.6062332704078357,0.8844992915789286,8.422234217325846,1.396875262260437,2.192347335106571
85,trialstate.complete,1.7840105706522862,1.7840105706522862,0.7528021732966106,7.253113746643066,0.917691985766093,4,8,0.5,3,1.5,5,0.6016359527905782,6.377888361612956,0.7692472139994303,1.495840270535946,0.9039683938026428,8.128339131673178,1.0661367575327556,2.0721808707686264
86,trialstate.complete,1.9153337410706084,1.9153337410706084,0.7141771614551544,7.6852177778879796,1.297905703385671,4,9,0.25,0,1.5,4,0.5259855588277181,7.754435062408447,0.9710084597269694,1.6250982279747328,0.9023687640825907,7.616000493367513,1.6248029470443726,2.205569254166484
87,trialstate.complete,1.9371956521959504,1.9371956521959504,0.7141342163085938,8.019906123479208,1.2632137338320413,4,10,0.25,0,1.0,5,0.5272743503252665,7.745349089304606,0.9539804458618164,1.6198024232161838,0.900994082291921,8.294463157653809,1.5724470218022664,2.254588881175717
88,trialstate.complete,1.9371956521959504,1.9371956521959504,0.7141342163085938,8.019906123479208,1.2632137338320413,4,10,0.25,0,1.0,5,0.5272743503252665,7.745349089304606,0.9539804458618164,1.6198024232161838,0.900994082291921,8.294463157653809,1.5724470218022664,2.254588881175717
89,trialstate.complete,1.8416312843856018,1.8416312843856018,0.659043570359548,8.041280825932821,1.1353800296783447,4,10,0.25,1,1.0,4,0.5220288832982382,7.6537102063496905,0.9678341150283813,1.6100109529979625,0.7960582574208578,8.428851445515951,1.302925944328308,2.073251615773241
90,trialstate.complete,1.9371956521959504,1.9371956521959504,0.7141342163085938,8.019906123479208,1.2632137338320413,4,10,0.25,0,1.0,5,0.5272743503252665,7.745349089304606,0.9539804458618164,1.6198024232161838,0.900994082291921,8.294463157653809,1.5724470218022664,2.254588881175717
91,trialstate.complete,1.9371956521959504,1.9371956521959504,0.7141342163085938,8.019906123479208,1.2632137338320413,4,10,0.25,0,1.0,5,0.5272743503252665,7.745349089304606,0.9539804458618164,1.6198024232161838,0.900994082291921,8.294463157653809,1.5724470218022664,2.254588881175717
92,trialstate.complete,1.9371956521959504,1.9371956521959504,0.7141342163085938,8.019906123479208,1.2632137338320413,4,10,0.25,0,1.0,5,0.5272743503252665,7.745349089304606,0.9539804458618164,1.6198024232161838,0.900994082291921,8.294463157653809,1.5724470218022664,2.254588881175717
93,trialstate.complete,1.9371896288132766,1.9371896288132766,0.7141260107358296,8.019906123479208,1.2632202804088593,4,10,0.25,0,1.0,4,0.5272730390230814,7.745349089304606,0.9539775252342224,1.6198001383724412,0.9009789824485779,8.294463157653809,1.572463035583496,2.254579119254112
94,trialstate.complete,1.9371896288132766,1.9371896288132766,0.7141260107358296,8.019906123479208,1.2632202804088593,4,10,0.25,0,1.0,4,0.5272730390230814,7.745349089304606,0.9539775252342224,1.6198001383724412,0.9009789824485779,8.294463157653809,1.572463035583496,2.254579119254112
95,trialstate.complete,1.5266857932658233,1.5266857932658233,0.7627645035584767,6.508200565973917,0.3393040386339029,4,10,1.0,4,1.0,4,0.6393009821573893,5.186117490132649,0.11651488890250523,1.196750988633193,0.8862280249595642,7.8302836418151855,0.5620931883653005,1.8566205978984536
